price,rating,os,sim_type,network_type,NFC,chipset,core_type,clock_ghz,ram_gb,storage_gb,battery_mah,screen_size_in,display_type,rear_camera,front_camera,company_name,resx,resy,ppi,performance_score
32999,8.3,Andriod,Dual,5g,False,Other,Octa Core,2.36,6,6,5200.0,6.67,Punch Hole,108,32,xiaomi,1080,2460,402.79364037010095,14.16
28499,8.3,Andriod,Dual,5g,True,Snapdragon,Octa Core,2.4,8,8,4500.0,6.7,Punch Hole,64,32,oppo,1080,2412,394.44076267485747,19.2
21999,8.3,Andriod,Dual,5g,True,Snapdragon,Octa Core,2.2,6,6,5000.0,6.7,Punch Hole,108,16,oneplus,1080,2412,394.44076267485747,13.200000000000001
19999,8.3,Andriod,Dual,5g,False,Other,Octa Core,2.2,6,6,5000.0,6.67,Punch Hole,108,16,xiaomi,1080,2400,394.57353282389164,13.200000000000001
18999,8.7,Andriod,Dual,5g,True,Other,Octa Core,2.4,6,6,5000.0,6.67,Punch Hole,108,32,motorola,1080,2400,394.57353282389164,14.399999999999999
27999,8.5,Andriod,Dual,5g,False,Dimensity,Octa Core,2.6,8,8,5000.0,6.7,Punch Hole,108,16,realme,1080,2412,394.44076267485747,20.8
18499,8.0,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,8,8,5000.0,6.58,Water Drop Notch,50,16,vivo,1080,2408,401.07946472241093,19.2
17478,8.1,Andriod,Dual,5g,True,Other,Octa Core,2.4,6,6,6000.0,6.6,Water Drop Notch,50,8,samsung,1080,2400,398.7584036265693,14.399999999999999
11936,7.6,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,4,4,5000.0,6.43,Punch Hole,50,13,xiaomi,1080,2400,409.3010052776606,9.6
8950,6.4,Andriod,Dual,4g,False,Other,Octa Core,1.8,3,3,5000.0,6.5,Water Drop Notch,50,5,realme,720,1600,269.92876553183146,5.4
12489,6.8,Andriod,Dual,4g,False,Helio,Octa Core,2.3,4,4,5000.0,6.51,Water Drop Notch,13,5,vivo,720,1600,269.5141284111989,9.2
42999,8.0,Andriod,Dual,5g,True,Other,Octa Core,2.36,8,8,5000.0,6.7,Punch Hole,108,32,samsung,1080,2412,394.44076267485747,18.88
